,fuelexpn,hhcompx,gorEHS,FullincDeciles,FPEER,FPEERband,AHCIncomeEQ,fpflgb,fpflgf,HousingCosts
274,1573.9,2,5,10,48.84,3,73100.0,0,0,0.0
275,932.02,7,5,2,67.16,2,22817.24138,0,0,0.0
276,1127.28,7,5,5,59.51,2,41144.82759,0,0,0.0
277,1687.37,4,5,2,46.46,3,2411.538462,1,1,11520.0
278,795.84,7,5,2,79.73,1,19655.17241,0,0,0.0
279,1237.36,2,5,8,65.99,2,36365.0,0,0,0.0
280,1276.79,3,5,6,67.84,2,13762.96296,0,0,5000.0
281,1143.84,3,5,3,77.7,1,9112.142857,0,0,4160.0
282,813.51,7,5,2,70.94,1,17165.51724,0,0,1404.0
283,1527.64,5,5,6,60.05,2,27378.0,0,0,0.0
284,833.28,2,5,3,72.35,1,9191.0,0,0,5850.0
285,1559.67,3,5,5,67.01,2,10136.11111,0,0,4950.0
286,879.61,7,5,3,61.19,2,27175.86207,0,0,0.0
287,1203.88,7,5,5,57.34,2,38146.55172,0,0,0.0
288,1835.55,7,5,1,20.34,5,8624.137931,1,1,3848.0
289,1240.44,4,5,3,69.42,1,10793.87755,1,0,4992.0
290,1234.86,2,5,3,69.39,1,13524.0,0,0,4032.0
291,1445.97,2,5,2,52.19,3,10131.0,1,1,3216.0
292,1158.73,2,5,6,64.4,2,20053.0,0,0,5544.0
293,2171.21,1,5,9,38.35,4,48692.0,0,0,0.0
294,1533.22,1,5,8,51.79,3,27481.69014,0,0,0.0
295,1440.31,2,5,5,48.14,3,21327.0,0,0,0.0
296,1150.18,5,5,7,67.11,2,27805.0,0,0,3672.0
297,1064.08,7,5,2,57.57,2,14918.96552,1,0,3888.0
298,2165.38,3,5,6,61.5,2,11508.88889,0,0,7540.0
299,1944.79,3,5,5,72.48,1,13693.82716,0,0,2160.0
300,1304.81,3,5,4,69.52,1,8443.209877,0,0,5200.0
301,1463.17,3,5,8,62.31,2,21404.34783,0,0,840.0
302,1623.09,1,5,4,39.94,3,15327.1144,1,0,3795.8856
303,1357.22,3,5,8,67.75,2,21618.75,0,0,5880.0
304,1814.08,3,5,8,65.66,2,14511.9469,0,0,5400.0
305,1594.16,7,5,4,32.34,4,31839.65517,0,0,0.0
306,1695.66,3,5,10,63.34,2,56130.625,0,0,9410.0
307,3022.73,1,5,5,1.04,5,17024.32498,1,1,6912.675024
308,1156.11,4,5,5,71.16,1,15956.77966,0,0,5044.0
309,662.51,7,5,2,77.09,1,16532.75862,0,0,3750.0
310,829.88,7,5,1,67.81,2,12739.65517,0,0,3432.0
311,1938.75,4,6,3,47.71,3,7330.28169,1,1,4272.0
312,2083.37,3,6,6,54.2,3,11600.0,0,0,4628.0
313,1125.82,2,6,4,69.37,1,18287.0,0,0,0.0
