,fuelexpn,hhcompx,gorehs,FullincDeciles,FPEERrating,FPEERband,AHCIncomeEQ_LILEE,fpflgb,fpflgf,HousingCosts
9110,1308.78,4,6,4,60.31,2,18865.38462,0,0,6900.0
9111,929.6,7,5,1,65.83,2,16939.65517,0,0,0.0
9112,583.05,6,6,1,79.67,1,567.2413793,1,0,9120.0
9113,1546.83,7,9,3,33.58,4,30375.86207,0,0,0.0
9114,1139.07,4,7,2,71.22,1,5609.316968,0,0,8120.769906
9115,985.13,2,4,5,64.66,2,20570.61538,0,0,4615.384615
9116,2146.54,5,1,7,58.32,2,16874.64789,0,0,13920.0
9117,2895.82,2,8,8,58.91,2,39711.0,0,0,0.0
9118,1375.09,6,1,9,74.92,1,81717.24138,0,0,5184.0
9119,900.18,7,9,4,66.42,2,36837.93103,0,0,0.0
9120,1113.65,1,5,8,65.51,2,36688.0,0,0,5640.0
9121,1883.46,7,5,3,38.42,4,33429.31034,0,0,0.0
9122,1519.79,3,6,6,70.12,1,13151.85185,0,0,10200.0
9123,1298.79,3,4,4,73.77,1,9891.304348,0,0,4600.0
9124,932.68,2,4,5,81.37,1,13640.84507,0,0,3952.0
9125,1047.04,7,2,2,64.97,2,16339.65517,1,0,5400.0
9126,1061.16,7,7,1,64.71,2,11236.2069,1,1,0.0
9127,1249.2,3,2,7,66.19,2,19347.14286,0,0,7140.0
9128,1236.73,7,9,8,62.82,2,78587.93103,0,0,0.0
9129,1178.67,2,1,5,71.64,1,24829.0,0,0,0.0
9130,1353.76,2,4,7,68.95,1,23267.60563,0,0,0.0
9131,994.92,1,9,5,71.68,1,16747.0,0,0,8100.0
9132,1830.64,3,6,9,76.81,1,38035.21127,0,0,0.0
9133,1402.87,3,6,7,64.93,2,18002.14286,0,0,7680.0
9134,1128.05,5,7,7,70.77,1,17660.49383,0,0,4680.0
9135,991.02,3,10,9,78.0,1,32457.5,0,0,10800.0
9136,815.9,6,4,3,72.2,1,16944.82759,0,0,4316.0
9137,884.92,7,7,5,67.2,2,20724.13793,0,0,4576.0
9138,1274.05,2,1,1,63.97,2,12126.0,0,1,0.0
9139,1530.77,1,8,9,59.76,2,30625.0,0,0,17160.0
9140,1764.85,3,6,7,56.45,2,19583.57143,0,0,8400.0
9141,1004.53,7,9,3,68.83,1,18989.65517,0,0,5720.0
9142,914.62,3,4,3,65.88,2,11495.0,0,0,3672.0
9143,734.88,7,8,1,73.77,1,9570.689655,1,0,2460.0
9144,911.96,2,5,3,71.58,1,14310.0,0,0,4808.0
9145,1152.13,5,9,6,69.19,1,29278.0,0,0,0.0
9146,1390.65,1,2,1,52.69,3,3596.0,1,1,60.0
9147,1629.73,2,1,6,65.55,2,29583.0,0,0,0.0
9148,1320.16,5,8,10,68.78,1,15972.01493,0,0,16250.0
9149,1175.0,5,8,6,69.43,1,18949.0,0,0,10800.0
9150,1258.87,7,4,3,52.06,3,29824.13793,0,0,0.0
9151,1902.0,3,5,2,58.46,2,5972.826087,1,1,4416.0
9152,1474.25,2,9,5,60.33,2,26738.0,0,0,0.0
9153,822.09,6,8,2,72.02,1,11431.03448,1,0,9100.0
9154,1704.12,3,2,6,55.15,2,15983.75,0,0,4524.0
9155,1203.87,2,5,9,68.16,2,53110.0,0,0,0.0
9156,712.98,6,8,2,69.37,1,16948.27586,0,0,5928.0
9157,1441.76,4,2,4,64.69,2,13038.13559,0,0,6000.0
9158,947.27,6,1,2,73.44,1,15248.27586,0,0,4656.0
9159,1219.83,3,9,6,67.99,2,15257.14286,0,0,7280.0
9160,1110.87,4,7,2,64.82,2,9160.25641,1,0,6900.0
9161,1473.9,1,10,8,53.87,3,37173.0,0,0,5640.0
