,fuelexpn,hhcompx,gorEHS,FullincDeciles,FPEERrating,FPEERband,AHCIncomeEQ,fpflgb,fpflgf,HousingCosts
2390,1560.16,3,7,7,67.09,2,18561.25,0,0,7200.0
2391,771.67,7,10,2,73.27,1,13896.55172,0,0,4524.0
2392,2305.64,3,9,10,56.59,2,100000.0,0,0,0.0
2393,1459.55,1,5,4,51.01,3,16930.0,0,0,2159.0
2394,584.12,7,7,1,76.13,1,5925.862069,0,0,4680.0
2395,1096.44,3,7,5,73.92,1,12848.125,0,0,6000.0
2396,3062.65,3,7,4,11.08,5,5695.833333,1,1,14400.0
2397,1147.66,4,8,9,76.26,1,27598.76543,0,0,7748.0
2398,2468.14,1,8,10,51.61,3,100000.0,0,0,0.0
2399,1127.48,1,2,10,70.36,1,50224.0,0,0,10584.0
2400,1889.49,3,10,6,29.8,4,13288.75,0,0,9000.0
2401,1257.26,7,8,1,46.75,3,9075.862069,1,1,0.0
2402,1706.98,2,7,1,52.93,3,11182.0,1,1,0.0
2403,1324.93,3,9,8,66.7,2,18829.01235,0,0,12000.0
2404,864.14,6,7,7,67.72,2,43108.62069,0,0,9960.0
2405,901.35,7,8,4,65.19,2,21593.10345,0,0,7618.0
2406,1962.91,5,4,9,71.78,1,11591.55135,0,0,7007.739232
2407,1659.66,3,9,7,68.89,1,20660.0,0,0,3263.0
2408,1296.63,6,2,4,55.63,2,32843.10345,0,0,0.0
2409,728.06,7,7,2,71.32,1,16198.27586,0,0,5100.0
2410,1328.68,2,6,3,62.5,2,17564.0,0,0,0.0
2411,1711.22,2,2,4,47.08,3,19013.0,0,0,0.0
2412,1103.48,1,8,5,66.14,2,20921.0,0,0,5616.0
2413,1075.2,3,8,9,64.45,2,26245.71429,0,0,11580.0
2414,1424.26,5,10,1,62.47,2,3461.267606,1,1,5668.0
2415,1393.62,3,2,8,59.11,2,27998.33333,0,0,6120.0
2416,1178.34,1,5,9,67.33,2,30914.2096,0,0,2041.822372
2417,837.36,7,1,3,76.81,1,26517.24138,0,0,0.0
2418,3000.28,3,4,7,64.25,2,17382.6087,0,0,720.0
2419,1246.17,4,4,2,65.5,2,5552.112676,1,1,4080.0
2420,962.6,6,9,8,40.42,3,45294.82759,0,0,10800.0
2421,1242.51,1,6,3,61.53,2,9413.0,0,0,6960.0
2422,784.45,6,9,3,66.28,2,17351.72414,0,0,5967.0
2423,1261.12,4,2,3,67.48,2,9146.478873,0,0,5096.0
2424,1638.74,3,2,8,56.83,2,24083.33333,0,0,12144.0
2425,1795.56,3,10,7,62.43,2,12252.23214,0,0,4420.0
2426,1827.02,4,9,7,67.51,2,11000.71429,0,0,19800.0
2427,1273.75,3,4,5,60.85,2,16361.66667,0,0,5850.0
2428,1534.43,3,9,5,66.68,2,17358.57143,0,0,492.0
2429,1633.61,4,1,2,53.92,3,5502.469136,1,1,4524.0
2430,941.65,2,9,8,69.64,1,44833.0,0,0,0.0
2431,2049.29,3,4,10,64.2,2,53949.28571,0,0,16800.0
2432,836.82,1,1,9,70.78,1,46444.0,0,0,0.0
2433,781.01,7,8,1,68.21,2,11651.59862,0,0,4588.0728
2434,1360.64,3,5,4,69.18,1,11086.42857,0,0,4080.0
2435,930.84,7,4,7,67.22,2,54987.93103,0,0,0.0
2436,1379.37,1,10,9,61.52,2,17778.76106,0,0,12036.0
2437,1508.75,3,10,6,70.37,1,8607.222222,0,0,13344.0
2438,1158.88,7,9,3,55.95,2,19705.17241,1,0,5304.0
2439,1052.55,6,4,1,59.95,2,1158.62069,1,1,0.0
2440,1350.73,1,2,8,57.91,2,32602.0,0,0,6624.0
2441,1681.82,3,7,8,73.66,1,14493.89313,0,0,5472.0
2442,1040.45,5,10,7,72.73,1,24790.84507,0,0,0.0
2443,1355.12,2,4,7,61.8,2,30845.20002,0,0,4276.799975
2444,1482.97,4,4,4,63.89,2,12834.74576,0,0,4004.0
2445,1448.83,2,2,6,69.37,1,17076.05634,0,0,5355.0
2446,1461.91,3,7,5,59.75,2,15191.42857,0,0,4800.0
2447,802.01,6,10,3,72.71,1,16315.51724,0,0,6600.0
2448,1460.29,3,4,5,66.81,2,12527.5,0,0,8460.0
2449,901.59,7,2,2,65.57,2,13900.0,1,0,3744.0
