,fuelexpn,hhcompx,gorehs,FullincDeciles,FPEERrating,FPEERband,AHCIncomeEQ,fpflgb,fpflgf,HousingCosts
5748,949.95,4,2,2,76.64,1,9591.666667,1,0,4562.5
5749,931.29,2,4,3,60.14,2,14926.0,0,0,4160.0
5750,1063.63,6,10,9,57.58,2,70612.06897,0,0,12960.0
5751,984.16,4,7,4,76.36,1,10944.3662,0,0,6136.0
5752,1715.89,1,2,6,66.76,2,6365.486726,0,0,14400.0
5753,1004.21,4,9,6,75.9,1,17298.30508,0,0,6968.0
5754,432.65,7,6,3,85.23,1,24989.65517,0,0,4160.0
5755,1057.78,6,5,1,64.64,2,7527.586207,1,1,4420.0
5756,1195.28,2,7,6,60.69,2,30058.0,0,0,0.0
5757,1195.04,1,9,8,63.02,2,32222.0,0,0,8400.0
5758,864.09,7,6,2,69.88,1,16043.10345,0,0,5760.0
5759,573.81,7,2,3,79.67,1,24451.72414,0,0,3120.0
5760,881.18,7,1,2,62.26,2,26331.03448,0,0,0.0
5761,953.08,3,4,10,66.49,2,49582.14286,0,0,6600.0
5762,822.07,7,7,4,59.86,2,28089.65517,0,0,5720.0
5763,630.42,7,2,3,76.04,1,18724.13793,0,0,6120.0
5764,949.75,2,5,9,68.8,1,46995.0,0,0,0.0
5765,1332.61,7,2,3,42.16,3,29848.27586,0,0,0.0
5766,1043.86,3,9,6,70.21,1,20284.16667,0,0,5700.0
5767,1492.32,3,8,10,68.0,2,85087.14286,0,0,18000.0
5768,983.04,7,5,2,62.59,2,15491.37931,0,0,4800.0
5769,787.87,1,7,3,64.52,2,14192.0,0,0,4800.0
5770,1379.69,4,6,3,64.23,2,11904.08163,1,0,4680.0
5771,883.27,3,9,9,72.26,1,28657.5,0,0,11100.0
5772,446.67,6,8,1,77.78,1,-20673.75028,1,1,12250.77516
5773,1230.55,7,6,3,39.17,3,31437.93103,0,0,0.0
5774,1565.27,3,7,7,50.82,3,20636.66667,0,0,8100.0
5775,1128.07,5,1,4,65.07,2,20253.0,0,0,2520.0
5776,1151.07,2,9,3,64.67,2,17740.0,0,0,0.0
5777,676.81,4,7,2,86.3,1,9479.591837,0,0,6000.0
5778,1354.83,2,10,9,57.42,2,49962.0,0,0,0.0
5779,1229.26,3,1,3,68.73,1,8417.857143,0,0,7320.0
5780,1392.69,1,9,7,56.05,2,31302.0,0,0,2520.0
5781,1179.53,4,2,3,73.43,1,8914.166667,0,0,5200.0
5782,990.33,3,1,4,68.96,1,14083.33333,0,0,3796.0
5783,1438.79,3,10,9,57.89,2,33113.33333,0,0,11640.0
5784,948.36,7,1,3,67.95,2,24775.86207,0,0,4740.0
5785,873.85,7,4,4,61.75,2,27467.24138,0,0,4212.0
5786,1301.62,1,6,1,57.8,2,6687.0,1,1,4800.0
5787,1417.24,4,1,6,67.03,2,18064.78873,0,0,4000.0
5788,840.24,7,4,8,67.51,2,57574.13793,0,0,4450.0
5789,1075.0,7,4,6,63.17,2,50056.89655,0,0,0.0
5790,785.25,6,6,1,71.23,1,11206.89655,1,0,3952.0
5791,476.88,7,8,2,87.58,1,6184.482759,0,0,11284.0
5792,871.24,1,9,5,71.9,1,20143.0,0,0,6108.0
5793,878.19,6,5,4,78.68,1,24134.48276,0,0,5700.0
5794,1160.92,2,10,2,52.06,3,7650.0,0,0,4812.0
5795,866.48,5,7,4,75.94,1,9890.949141,0,0,9559.050859
5796,890.17,3,8,6,70.59,1,16346.66667,0,0,11400.0
5797,1454.58,3,9,10,55.86,2,34942.85714,0,0,9600.0
5798,1804.0,3,1,8,39.64,3,18646.91358,0,0,8340.0
5799,1300.91,2,6,3,68.15,2,11255.0,1,0,4992.0
5800,748.43,6,6,2,68.37,2,8165.517241,0,0,7200.0
5801,1228.08,3,1,4,63.02,2,11244.28571,0,0,4400.0
5802,962.46,1,8,8,78.6,1,23367.60563,0,0,9308.0
5803,598.22,7,2,2,79.51,1,14294.82759,0,0,4264.0
5804,1416.52,4,5,9,66.19,2,28515.49296,0,0,11220.0
5805,985.28,7,6,1,61.33,2,20415.51724,0,0,0.0
5806,1416.45,1,8,7,68.91,1,10867.93478,0,0,12864.0
5807,1708.46,3,4,8,77.42,1,22623.45679,0,0,4800.0
5808,1004.12,3,10,5,73.14,1,16263.33333,0,0,6188.0
5809,733.39,7,9,2,73.72,1,14294.82759,0,0,4784.0
5810,989.64,3,4,5,73.03,1,13990.0,0,0,4004.0
5811,828.29,7,1,2,73.54,1,14689.65517,0,0,4628.0
5812,657.39,7,7,3,79.94,1,23653.44828,0,0,4212.0
5813,1705.77,4,6,2,56.6,2,8433.333333,1,1,6300.0
5814,1082.12,7,2,3,67.57,2,23117.24138,0,0,4176.0
5815,882.77,2,5,7,81.9,1,19692.25352,0,0,3750.0
5816,2336.92,3,5,5,59.67,2,7404.347826,0,0,11400.0
5817,1330.05,7,10,7,44.4,3,59127.58621,0,0,0.0
5818,1870.77,3,4,8,53.53,3,21865.71429,0,0,8040.0
5819,1151.26,2,7,3,63.84,2,18068.24514,0,0,735.7548586
5820,1425.3,3,9,7,72.4,1,12229.70297,0,0,8700.0
5821,870.92,7,5,2,65.54,2,19891.37931,0,0,3588.0
5822,1297.6,2,5,8,64.09,2,30063.38028,0,0,0.0
5823,598.32,7,9,5,75.28,1,26320.68966,0,0,8424.0
5824,1356.16,1,9,10,46.8,3,39363.0,0,0,30000.0
5825,1109.65,5,1,5,66.68,2,20480.0,0,0,3672.0
5826,1409.12,3,2,7,59.88,2,22045.83333,0,0,6300.0
5827,735.14,1,9,8,76.03,1,31980.0,0,0,5388.0
5828,853.52,6,9,10,70.45,1,87250.0,0,0,16800.0
5829,1248.86,4,7,3,64.51,2,10930.0,0,0,6604.0
5830,857.28,7,10,4,59.12,2,38970.68966,0,0,0.0
5831,890.24,6,5,8,63.15,2,58153.44828,0,0,6768.0
5832,830.48,1,4,4,76.82,1,16234.0,0,0,4200.0
5833,902.63,6,9,1,65.49,2,-3193.103448,0,0,12000.0
