,Unnamed: 0,fuelexpn,hhcompx,gorEHS,FullincDeciles,FPEERrating,FPEERband,AHCIncomeEQ,fpflgb,fpflgf,HousingCosts,split
2972,2972,1435.15,3,1,7,77.29,1,14324.44444,0,0,5200.0,-1.714263484796995
2973,2973,1462.28,3,5,6,60.63,2,18814.16667,0,0,3936.0,1.2803537461272756
2974,2974,1761.92,3,6,8,52.33,3,31113.33333,0,0,5760.0,-1.7431887059675766
2975,2975,1477.82,2,9,3,63.82,2,16173.0,0,0,1800.0,0.12427933102617345
2976,2976,1725.34,5,2,1,74.83,1,-313.3333333,1,1,7488.0,0.556134898038895
2977,2977,1946.74,4,7,4,45.53,3,15015.38462,1,1,7072.0,1.4064331134256338
2978,2978,1160.92,7,10,2,54.81,2,12298.27586,0,0,4800.0,-0.2847411535075943
2981,2981,1365.27,2,8,3,60.12,2,16191.0,0,0,0.0,-1.3829662029889764
2984,2984,2808.78,3,4,3,26.19,4,10173.33333,1,1,5940.0,0.09406430057453155
2985,2985,1011.19,4,5,3,71.5,1,13002.0,0,0,4420.0,0.6958158955920254
2987,2987,1422.92,7,7,6,57.65,2,49231.03448,0,0,0.0,0.27802148131259974
2989,2989,911.13,6,8,10,69.76,1,100000.0,0,0,12826.18058,0.8013772944394331
2990,2990,1457.62,3,4,8,55.54,2,27484.16667,0,0,8100.0,0.08348367539520735
2991,2991,1880.82,3,10,4,60.2,2,10649.28571,0,0,4440.0,1.256031791240857
2992,2992,826.61,7,2,2,74.57,1,15582.75862,0,0,3700.0,-1.741062493424959
2993,2993,1338.52,6,9,2,53.33,3,24389.65517,0,0,0.0,0.5832278129887092
2994,2994,1070.54,6,8,1,60.29,2,15394.82759,1,1,0.0,0.9345402336903746
2995,2995,1755.54,1,10,10,42.06,3,65192.0,0,0,10800.0,0.05531435011697266
2996,2996,1036.32,7,7,2,54.94,2,14682.46552,0,0,4993.17,0.024691460444265664
2998,2998,968.8,1,8,4,72.45,1,17642.0,0,0,3900.0,1.387037336581272
