,Unnamed: 0,fuelexpn,hhcompx,gorehs,FullincDeciles,FPEERrating,FPEERband,AHCIncomeEQ,fpflgb,fpflgf,HousingCosts,split
7584,7584,1721.88,3,2,7,64.74,2,12065.9292,0,0,7140.0,0.5504051746166605
7586,7586,1394.52,2,7,7,56.16,2,26158.0,0,0,9600.0,-0.27814519106824087
7587,7587,998.94,7,8,9,59.62,2,93417.24138,0,0,0.0,0.41638803599072816
7588,7588,961.77,7,9,2,60.14,2,23275.86207,0,0,0.0,1.3869870073373423
7589,7589,2091.07,3,6,5,61.09,2,7022.31405,1,0,8700.0,-0.535820998760297
7590,7590,771.04,6,6,1,72.76,1,11202.65252,1,0,4098.461538,0.7333812853774916
7591,7591,1023.71,4,2,2,77.66,1,6822.5,1,0,4800.0,0.17419862470231892
7593,7593,1218.03,7,8,2,61.02,2,24467.24138,0,0,0.0,-1.2054017141226938
7595,7595,875.7,6,10,3,68.86,1,15834.61517,0,0,7177.9232,-1.9209637007579532
7596,7596,1667.66,2,10,6,66.22,2,13899.45652,0,0,5200.0,1.8696523618007672
7597,7597,1429.43,1,10,6,61.31,2,21526.0,0,0,10140.0,1.4143972515055474
7599,7599,1146.15,2,4,6,69.3,1,32481.0,0,0,0.0,-0.07244794529415666
7600,7600,949.08,7,6,2,69.67,1,15406.89655,1,0,5304.0,0.0421385868997643
7601,7601,1352.59,1,9,9,63.45,2,46940.69285,0,0,8981.307146,0.2767088105157148
7602,7602,906.81,6,9,10,66.34,2,100000.0,0,0,13020.0,0.1774165641367871
7603,7603,930.33,7,7,3,71.06,1,28975.86207,0,0,0.0,0.5658387841801163
7604,7604,1647.39,3,9,4,63.52,2,13157.5,0,0,7200.0,2.0924766248684965
7605,7605,995.86,1,7,6,72.38,1,23927.0,0,0,6552.0,-0.14352397088039454
7608,7608,996.47,5,2,5,75.36,1,21740.0,0,0,3380.0,2.5317638471003434
7609,7609,1144.94,5,10,6,65.97,2,21126.0,0,0,10200.0,-0.2852316345595754
7610,7610,829.59,7,1,2,68.87,1,24417.24138,0,0,0.0,1.187837723685247
7611,7611,1335.21,2,1,7,71.85,1,35410.0,0,0,0.0,0.59514986945581
7612,7612,1188.71,3,4,4,73.97,1,11850.0,0,0,3900.0,-0.6230169336802751
7613,7613,613.31,7,8,2,78.72,1,15079.31034,0,0,5564.0,0.6149038497994488
7614,7614,774.24,6,10,2,68.03,2,14185.8992,0,0,5947.178465,-0.15651407634698206
7615,7615,722.46,7,6,2,73.06,1,18275.86207,0,0,4160.0,-0.7435304219633494
7616,7616,993.27,1,6,7,69.12,1,26424.0,0,0,6600.0,2.644446254278133
7617,7617,1426.38,4,2,4,55.31,2,18064.28571,0,0,5400.0,-0.14283670759862482
7619,7619,875.96,7,4,1,60.83,2,9546.551724,1,0,5400.0,-0.5717641842089335
7620,7620,2315.52,5,9,1,56.62,2,3582.571429,1,1,0.0,-1.1663877077747826
7622,7622,565.36,7,2,3,81.79,1,26081.03448,0,0,4350.0,1.4362066638694237
7623,7623,896.12,6,5,1,63.56,2,4912.068966,0,0,6968.0,1.6495428918793635
7624,7624,1133.44,2,7,2,69.32,1,13067.0,0,0,741.0,-0.955329833549161
7626,7626,1098.33,2,2,6,67.76,2,32158.0,0,0,0.0,0.48259036828789115
7628,7628,616.96,7,2,2,77.74,1,13187.93103,0,0,4940.0,0.4369169743412307
7629,7629,1390.77,3,5,6,61.66,2,21110.83333,0,0,6300.0,-0.052797943551995276
7630,7630,874.45,2,5,5,74.31,1,22380.0,0,0,4452.0,-1.766174966782125
7631,7631,1354.58,3,7,3,58.31,2,1980.833333,0,0,14400.0,0.8938241866371827
7632,7632,1518.31,5,2,5,47.06,3,9442.857143,0,0,7140.0,0.04218387652919198
7633,7633,1444.75,3,8,8,70.06,1,21132.85714,0,0,14400.0,-0.4686778439865081
7634,7634,583.57,6,1,1,81.51,1,986.2068966,1,1,3264.0,1.4304135337225174
7635,7635,1339.37,5,8,6,73.44,1,12809.23913,0,0,7080.0,0.14186375797794745
7636,7636,1068.11,6,10,2,60.81,2,18275.86207,1,0,4628.0,0.05324334362208842
7637,7637,2333.65,5,9,5,42.52,3,21536.0,0,0,3660.0,0.5273783022244037
