,serialanon,fpLIHCflg,fpLIHCqdt,fpLIHCgapEQ,fpLIHCgapUNEQ,HousingCosts,AHCIncomeEQ,AHCeqFactor,BHCeqFactor,FuelCosteqFactor,fpbasinc,fpfullinc,fuelexpn,wathcost,spahcost,litecost,cookcost,elecmop,gasmop,fpflgb,fpflgf,fpvuln,Unoc,FullincDeciles,EqAHCincDeciles,FPEERrating,FPEERband,sap12,EPC,gorEHS,Ongas,tenure4x,DWtype,DWage,FloorArea,CentralHeating,Mainfueltype,WallType,Loftins,boiler,hhcompx,emphrp3x,ethhrp2x,Ageyng,Ageold,hhsize,hhsick,CERTpriority,WFG_preApr11,WFG_postApr11,WFG_Sept12,ECO_AW,aagph1415
9031,15160023776,1,1,119.66,119.66,8701.43922,-4361.43922,1,1,1,4340,4340,1355.57,142.63,806.93,367.3,38.71,1,1,1,1,0,1,1,1,63.27,2,58.87,2,1,1,2,2,3,5,1,1,1,2,3,5,3,1,4,1,2,0,1,0,0,0,3,799
9032,15160023778,0,3,0,0,3750,16550.4902,2.04,1.86,1.32,38539,37513,1625.95,256.57,721.93,588.66,58.79,2,2,0,0,1,0,8,4,58.86,2,58.34,2,5,1,3,1,5,3,1,1,1,2,3,3,1,1,3,3,5,0,0,0,0,0,4,637
9033,15160023780,0,2,0,0,5148,7443.103448,0.58,0.67,0.82,6240,9465,980.12,98.57,556.38,288.7,36.47,3,3,1,1,1,0,1,1,61.51,2,60.85,2,4,1,2,2,3,1,1,1,3,1,5,6,3,1,5,2,1,1,1,0,0,0,3,1901
9034,15160023785,0,3,0,0,6240,17714.78873,1.42,1.33,1.07,27798,31395,1281.86,162.69,529.45,542.08,47.64,3,3,0,0,1,0,6,4,71.63,1,71.19,1,7,1,3,2,5,4,1,1,2,2,5,1,3,1,4,3,3,1,1,0,0,0,4,480
9035,15160023792,0,3,0,0,8400,21981.69014,1.42,1.33,1.07,40614,39614,1072.37,87.89,341.96,592.46,50.06,2,2,0,0,0,0,8,6,73.14,1,72.58,1,10,1,2,6,4,2,1,1,2,1,5,1,1,1,5,2,3,0,0,0,0,0,3,2212
9036,15160023793,0,3,0,0,0,64717.24138,0.58,0.67,0.82,38696,37536,879.21,56.42,512.94,276.98,32.87,1,1,0,0,1,0,8,10,67.87,2,67.31,2,7,1,1,3,5,2,1,1,3,2,4,7,1,1,7,6,1,1,1,0,0,0,3,2240
9037,15160023794,0,4,0,0,5772,15605,1.2,1.2,1.07,25340,24498,1879.03,211.95,1095.18,528,43.9,1,1,0,0,1,0,5,3,47.56,3,47.17,3,7,1,4,3,5,4,1,1,1,1,1,4,1,1,3,3,3,1,1,0,0,0,2,556
9038,15160023802,0,3,0,0,3900,14626,1,1,1,14729,18526,923.4,132.66,373.57,374.23,42.94,2,3,0,0,1,0,4,3,69.97,1,69.31,1,4,1,3,3,6,1,1,1,2,2,5,1,3,1,5,4,2,1,1,0,0,0,2,456
9039,15160023806,0,3,0,0,4850,25731.66667,1.2,1.2,1.07,36761,35728,1061.44,108.48,430.62,473.63,48.71,3,3,0,0,1,0,7,7,73.07,1,72.56,1,4,1,3,5,5,3,1,3,2,3,-9,3,1,1,2,2,3,1,0,0,0,0,4,862
9040,15160023809,1,1,712.44,712.44,8160,4099,1,1,1,12259,12259,1948.35,273.95,1130.91,500.9,42.59,3,3,1,1,1,1,2,1,53.56,3,49.42,3,4,1,1,4,4,5,1,1,2,2,1,2,3,1,6,6,2,1,1,1,0,0,3,2090
9041,15160023814,0,4,0,0,0,15765.51724,0.58,0.67,0.82,10180,9144,1038.28,46.43,566.57,392.13,33.15,1,1,1,1,1,1,1,4,63.36,2,62.93,2,1,1,1,3,7,4,1,1,2,2,3,7,3,1,6,5,1,0,1,1,0,0,3,1650
9042,15160023816,0,3,0,0,5160,20677.58621,0.58,0.67,0.82,18115,17153,757.8,91.76,302.02,329.16,34.86,1,1,0,0,0,1,3,5,72.93,1,72.42,1,10,1,1,2,7,3,1,1,1,2,5,6,1,1,5,4,1,0,0,0,0,0,3,2540
9043,15160023823,0,4,0,0,6136,22586.2069,0.58,0.67,0.82,13100,19236,1168.79,107.84,674.91,349.54,36.5,2,2,0,0,1,1,4,6,55.98,2,55.5,2,9,1,4,1,6,3,1,1,1,1,4,7,3,1,7,6,1,0,1,0,0,0,4,408
9044,15160023825,0,3,0,0,10680,45700,0.58,0.67,0.82,38196,37186,877.51,65.11,540.57,238.96,32.87,1,1,0,0,0,1,8,9,67.89,2,67.47,2,7,1,1,3,4,4,1,1,3,2,4,6,1,1,5,2,1,0,0,0,0,0,3,4936
9045,15160023832,0,3,0,0,9724,18981.25,1.6,1.6,1.32,31814,40094,1214.04,186.03,315.15,653.61,59.25,2,2,0,0,1,0,8,5,80.09,1,74.52,1,7,1,4,1,9,4,1,1,2,2,4,4,3,1,1,3,5,1,1,0,0,0,2,362
9046,15160023836,0,3,0,0,0,23943,1,1,1,25872,23943,1059.11,138.65,451.15,430.92,38.39,1,1,0,0,1,1,5,6,69.97,1,69.56,1,7,1,1,4,9,4,1,1,1,2,4,2,3,1,6,5,2,0,0,0,0,0,3,1871
9047,15160023838,0,4,0,0,9576,31062.06897,0.58,0.67,0.82,28490,27592,1178.88,93.58,611.47,424.77,49.06,2,88,0,0,0,1,6,8,35.56,4,35.24,4,10,0,1,4,2,4,1,3,3,2,3,6,1,1,5,4,1,0,0,0,0,0,3,2037
9048,15160023845,0,4,0,0,11940,66021.12676,1.42,1.33,1.07,100000,100000,1533.65,154.72,690.91,631.52,56.5,1,88,0,0,0,1,10,10,48.43,3,48.13,3,7,0,1,3,2,5,1,3,3,2,4,1,1,1,4,4,3,0,0,0,0,0,3,2092
