,serialanon,fpLIHCflg,fpLIHCqdt,fpLIHCgapEQ,fpLIHCgapUNEQ,HousingCosts,AHCIncomeEQ,FuelCosteqFactor,fpbasinc,fpfullinc,fuelexpn,wathcost,spahcost,litecost,cookcost,elecmop,gasmop,fpflgb,fpflgf,fpvuln,Unoc,FullincDeciles,EqAHCincDeciles,FPEERrating,FPEERband,sap12,EPC,gorehs,Ongas,tenure4x,DWtype,DWage,FloorArea,CentralHeating,Mainfueltype,WallType,Loftins,boiler,hhcompx,emphrp3x,ethhrp2x,Ageyng,Ageold,hhsize,hhsick,HTHG,WHDBroad,ECO_AW,aagph1718
5421,17180024550,0,2,0,0,4800,10644.82759,0.82,6500,10974,847.12,76.92,460.21,277.32,32.67,1,1,1,0,0,0,1,2,62.09,2,60.49,2,4,1,2,1,2,1,1,1,3,1,5,6,3,1,5,3,1,0,1,1,3,1052
5422,17180024554,0,4,0,0,0,35363.04348,1.21,66197,65068,1547.78,143.41,759.37,596.12,48.88,1,1,0,0,1,0,10,8,58.8,2,56.95,2,5,1,1,2,3,4,1,1,3,1,5,2,1,2,5,5,4,1,0,0,3,4923
5423,17180024557,1,1,169.783713,205.4382927,5160,13695,1.21,25569,24333,1634.95,157.48,762.8,663.76,50.91,1,1,0,0,1,0,5,3,58.39,2,55.61,2,2,1,1,3,4,4,1,1,3,1,5,3,3,1,3,3,4,1,1,0,1,4390
5424,17180024560,0,2,0,0,4316,6970.422535,1.07,10610,14214,1184.77,129.62,430.03,580.93,44.19,3,3,1,0,1,0,2,1,71.89,1,71.89,1,4,1,3,3,5,3,1,1,1,2,5,3,3,1,4,3,3,1,0,1,2,813
5425,17180024561,0,4,0,0,0,17896,1,19180,17896,1270.08,102.5,658.93,470.05,38.6,1,1,0,0,1,0,3,4,60.85,2,58.81,2,6,1,1,3,4,3,1,1,3,1,4,2,3,1,7,6,2,0,0,0,3,2192
5426,17180024569,0,4,0,0,0,23346,1,25326,23346,1921.08,185.05,1197.72,497.07,41.24,1,1,0,0,1,0,5,6,37.15,4,37.16,4,10,1,1,1,1,3,1,1,3,2,1,2,3,1,6,5,2,0,0,0,3,4710
5427,17180024573,0,3,0,0,1440,51613.33333,1.07,65376,63376,1165.05,131.03,575.22,414.8,44,1,1,0,0,1,1,10,10,78.58,1,79.91,1,7,1,1,4,6,5,1,1,2,2,4,3,1,1,1,3,3,0,0,0,3,1555
5428,17180024574,1,1,54.84982866,66.36829268,0,6735.326087,1.21,13481,12393,1495.88,79.55,691.32,674.1,50.91,1,1,1,1,1,0,2,1,66.48,2,63.3,2,2,1,1,1,5,4,1,1,2,2,5,3,1,1,3,5,4,1,1,1,1,2834
5429,17180024575,0,4,0,0,3539.094177,36582.90582,1,41803,40122,1363.4,139.89,729.61,453.9,40,1,1,0,0,1,0,8,8,56.63,2,53.72,3,8,1,1,3,4,3,1,1,3,2,4,2,1,1,6,5,2,0,0,0,3,5510
5430,17180024581,0,3,0,0,0,14910.34483,0.82,8648,8648,768.47,39.1,388.37,304.42,36.58,2,2,0,0,1,1,1,3,76.36,1,71.96,1,4,1,1,3,5,3,1,1,2,2,5,7,3,1,6,5,1,1,1,1,1,2737
